date,valueOverall3,valueFederal3,valueMission3,valueSmallBiz3,valueNonRes3,valueSF3,valueMF3
1-Jan-10,20441.51153,75.72885821,282.8243716,3682.576023,1983.283712,26290.93903,1881.857631
1-Jan-11,18551.50756,150.8847414,252.9545211,4148.855382,2333.118767,21783.32407,3086.303628
1-Jan-12,22158.87525,160.2796083,312.7626308,4186.330939,3430.393392,24347.6432,5130.154994
1-Jan-13,27911.50991,97.66131693,254.4634343,4404.231093,6361.100815,27761.59016,6050.672414
1-Jan-14,26094.48304,108.4015086,252.1778885,4272.740795,6183.362147,26099.37871,4782.573147
1-Jan-15,32470.48011,77.45254854,264.6067559,4630.495174,8189.06025,29294.86409,9394.962934
1-Jan-16,32547.90607,118.1732279,241.3595372,4648.942127,7695.015497,30938.56912,8223.389455
1-Jan-17,29998.31479,162.1926798,256.6043593,4722.152192,6480.024171,31107.16256,4835.119038
1-Jan-18,27985.34787,91.22817623,166.3279067,4556.746783,5770.709507,29907.50338,4057.221687
1-Jan-19,29601.61938,67.09267954,378.1419962,4694.058166,6385.739571,30641.33173,4325.256753
1-Jan-20,29009.19498,1.697929622,144.7477756,6550.41345,4617.748825,34247.01457,2906.292938
