percentile,valueOverall5,valueFederal5,valueMission5,valueSmallBiz5,valueNonRes5,valueSF5,valueMF5
0-11%,28874.26,53.54929,119.2566,4902.065,5038.645,29480.73,4889.505
12-20%,24100.33,170.13488,358.298,3944.452,6574.541,24280.83,5416.63
21-31%,19562.72,281.4016,856.8107,3041.05,6031.217,24858.42,3496.755
32+%,16852.45,406.32161,1843.7415,3468.135,5769.371,20027.52,5827.562
